kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_sarana,tahun
3202,KABUPATEN SUKABUMI,0,PUB,2017
3202,KABUPATEN SUKABUMI,4,Museum,2017
3202,KABUPATEN SUKABUMI,0,Bioskop,2017
3202,KABUPATEN SUKABUMI,4,Billiard,2017
3202,KABUPATEN SUKABUMI,0,DISKOTIK,2017
3202,KABUPATEN SUKABUMI,0,NIGHT CLUB,2017
3202,KABUPATEN SUKABUMI,0,KARAOKE/BAR,2017
3202,KABUPATEN SUKABUMI,0,PANTI PIJAT,2017
3202,KABUPATEN SUKABUMI,2,Wisata Tirta,2017
3202,KABUPATEN SUKABUMI,0,Bar,2018
3202,KABUPATEN SUKABUMI,0,PUB,2018
3202,KABUPATEN SUKABUMI,1,Museum,2018
3202,KABUPATEN SUKABUMI,0,Bioskop,2018
3202,KABUPATEN SUKABUMI,0,Billiard,2018
3202,KABUPATEN SUKABUMI,0,DISKOTIK,2018
3202,KABUPATEN SUKABUMI,0,NIGHT CLUB,2018
3202,KABUPATEN SUKABUMI,0,KARAOKE/BAR,2018
3202,KABUPATEN SUKABUMI,0,PANTI PIJAT,2018
3202,KABUPATEN SUKABUMI,0,Wisata Tirta,2018
3202,KABUPATEN SUKABUMI,0,Bar,2019
3202,KABUPATEN SUKABUMI,0,PUB,2019
3202,KABUPATEN SUKABUMI,1,Museum,2019
3202,KABUPATEN SUKABUMI,0,Bioskop,2019
3202,KABUPATEN SUKABUMI,1,Billiard,2019
3202,KABUPATEN SUKABUMI,0,DISKOTIK,2019
3202,KABUPATEN SUKABUMI,0,NIGHT CLUB,2019
3202,KABUPATEN SUKABUMI,2,KARAOKE/BAR,2019
3202,KABUPATEN SUKABUMI,0,PANTI PIJAT,2019
3202,KABUPATEN SUKABUMI,7,Wisata Tirta,2019
3202,KABUPATEN SUKABUMI,0,Bar,2020
3202,KABUPATEN SUKABUMI,0,PUB,2020
3202,KABUPATEN SUKABUMI,1,Museum,2020
3202,KABUPATEN SUKABUMI,0,Bioskop,2020
3202,KABUPATEN SUKABUMI,1,Billiard,2020
3202,KABUPATEN SUKABUMI,0,DISKOTIK,2020
3202,KABUPATEN SUKABUMI,0,NIGHT CLUB,2020
3202,KABUPATEN SUKABUMI,2,KARAOKE/BAR,2020
3202,KABUPATEN SUKABUMI,0,PANTI PIJAT,2020
3202,KABUPATEN SUKABUMI,7,Wisata Tirta,2020
3202,KABUPATEN SUKABUMI,0,Bar,2021
3202,KABUPATEN SUKABUMI,0,PUB,2021
3202,KABUPATEN SUKABUMI,0,Bioskop,2021
3202,KABUPATEN SUKABUMI,1,Billiard,2021
3202,KABUPATEN SUKABUMI,0,DISKOTIK,2021
3202,KABUPATEN SUKABUMI,0,NIGHT CLUB,2021
3202,KABUPATEN SUKABUMI,2,KARAOKE/BAR,2021
3202,KABUPATEN SUKABUMI,0,PANTI PIJAT,2021
3202,KABUPATEN SUKABUMI,7,Wisata Tirta,2021
3203,KABUPATEN CIANJUR,0,Bar,2014
3203,KABUPATEN CIANJUR,0,PUB,2014
3203,KABUPATEN CIANJUR,0,Museum,2014
3203,KABUPATEN CIANJUR,0,Bioskop,2014
3203,KABUPATEN CIANJUR,5,Billiard,2014
3203,KABUPATEN CIANJUR,2,DISKOTIK,2014
3203,KABUPATEN CIANJUR,0,NIGHT CLUB,2014
3203,KABUPATEN CIANJUR,7,KARAOKE/BAR,2014
3203,KABUPATEN CIANJUR,0,PANTI PIJAT,2014
3203,KABUPATEN CIANJUR,0,Wisata Tirta,2014
3203,KABUPATEN CIANJUR,0,Bar,2015
3203,KABUPATEN CIANJUR,0,PUB,2015
3203,KABUPATEN CIANJUR,1,Museum,2015
3203,KABUPATEN CIANJUR,0,Bioskop,2015
3203,KABUPATEN CIANJUR,5,Billiard,2015
3203,KABUPATEN CIANJUR,2,DISKOTIK,2015
3203,KABUPATEN CIANJUR,0,NIGHT CLUB,2015
3203,KABUPATEN CIANJUR,8,KARAOKE/BAR,2015
3203,KABUPATEN CIANJUR,0,PANTI PIJAT,2015
3203,KABUPATEN CIANJUR,7,Wisata Tirta,2015
3203,KABUPATEN CIANJUR,0,Bar,2016
3203,KABUPATEN CIANJUR,0,PUB,2016
3203,KABUPATEN CIANJUR,1,Museum,2016
3203,KABUPATEN CIANJUR,0,Bioskop,2016
3203,KABUPATEN CIANJUR,5,Billiard,2016
3203,KABUPATEN CIANJUR,2,DISKOTIK,2016
3203,KABUPATEN CIANJUR,0,NIGHT CLUB,2016
3203,KABUPATEN CIANJUR,8,KARAOKE/BAR,2016
3203,KABUPATEN CIANJUR,0,PANTI PIJAT,2016
3203,KABUPATEN CIANJUR,7,Wisata Tirta,2016
3203,KABUPATEN CIANJUR,0,Bar,2017
3203,KABUPATEN CIANJUR,0,PUB,2017
3203,KABUPATEN CIANJUR,1,Museum,2017
3203,KABUPATEN CIANJUR,0,Bioskop,2017
3203,KABUPATEN CIANJUR,5,Billiard,2017
3203,KABUPATEN CIANJUR,2,DISKOTIK,2017
3203,KABUPATEN CIANJUR,0,NIGHT CLUB,2017
3203,KABUPATEN CIANJUR,8,KARAOKE/BAR,2017
3203,KABUPATEN CIANJUR,0,PANTI PIJAT,2017
3203,KABUPATEN CIANJUR,7,Wisata Tirta,2017
3203,KABUPATEN CIANJUR,0,Bar,2018
3203,KABUPATEN CIANJUR,0,PUB,2018
3203,KABUPATEN CIANJUR,0,Museum,2018
3203,KABUPATEN CIANJUR,0,Bioskop,2018
3203,KABUPATEN CIANJUR,5,Billiard,2018
3203,KABUPATEN CIANJUR,0,DISKOTIK,2018
3203,KABUPATEN CIANJUR,0,NIGHT CLUB,2018
3203,KABUPATEN CIANJUR,12,KARAOKE/BAR,2018
3203,KABUPATEN CIANJUR,0,PANTI PIJAT,2018
3203,KABUPATEN CIANJUR,7,Wisata Tirta,2018
3203,KABUPATEN CIANJUR,0,Bar,2019
3203,KABUPATEN CIANJUR,0,PUB,2019
